,circle_x,circle_y,circle_radius,click_x,click_y,time_clicked,click_distance_from_circle_center,click_success,computer_no,dpi_setting,experiment_id
0,97,126,59,24,429,0.526681661605835,311.66969695496545,False,1,1,comp1_1650582533
1,444,109,53,24,429,0.6786143779754639,528.0151512977634,False,1,1,comp1_1650582533
2,465,343,32,24,429,0.8145961761474609,449.3072445443096,False,1,1,comp1_1650582533
3,523,388,68,24,429,0.9470219612121582,500.6815355093495,False,1,1,comp1_1650582533
4,628,72,10,24,429,1.0982551574707031,701.61599183599,False,1,1,comp1_1650582533
5,691,221,19,24,429,1.2502219676971436,698.6794687122272,False,1,1,comp1_1650582533
6,381,120,98,24,429,1.3781816959381104,472.15463568623363,False,1,1,comp1_1650582533
7,230,284,55,24,429,1.5316474437713623,251.91466809219347,False,1,1,comp1_1650582533
8,573,241,50,24,429,1.6618037223815918,580.2973375779006,False,1,1,comp1_1650582533
9,281,301,66,19,432,6.383424520492554,292.92490505247247,False,1,1,comp1_1650582533
10,234,115,70,18,435,7.4144606590271,386.07771238443695,False,1,1,comp1_1650582533
11,546,191,84,67,419,9.91755747795105,530.495051814812,False,1,1,comp1_1650582533
12,192,180,47,68,419,11.09292197227478,269.2526694389491,False,1,1,comp1_1650582533
