,dpi_setting,computer_no,delta_t,accuracy
0,1,1,1.486617804,1
1,1,1,1.484163046,1
2,1,1,1.149053097,1
3,1,1,1.066986084,1
4,1,1,0.773115635,1
5,1,1,1.089437962,0.978549785
6,1,1,0.538733482,1
7,1,1,0.355132341,1
8,1,1,0.694107771,0.873219872
9,1,1,0.990430117,1
0,1,1,2.074000359,1
1,1,1,1.285695076,1
2,1,1,0.891973495,1
3,1,1,0.430565119,1
4,1,1,0.619025469,1
5,1,1,0.734980583,1
6,1,1,0.636025667,1
7,1,1,0.498812437,0.974190578
8,1,1,0.59625268,1
9,1,1,0.566000223,1
10,1,1,0.795999527,1
11,1,1,0.758000374,1
0,1,1,2.758308411,1
1,1,1,1.409504175,1
2,1,1,1.118652821,1
3,1,1,1.237198114,1
4,1,1,1.010999441,1
5,1,1,1.235001326,1
6,1,1,0.79599905,1
0,1,1,1.566471338,1
1,1,1,0.683995247,0.149477802
2,1,1,0.450013876,1
3,1,1,0.639988422,1
4,1,1,0.8609972,1
5,1,1,0.549000502,1
6,1,1,0.771015882,1
7,1,1,1.312983513,1
8,1,1,1.060002089,1
9,1,1,1.18000102,1
0,1,1,1.638079166,1
1,1,1,1.308434486,1
2,1,1,1.076429129,1
3,1,1,0.831103802,1
4,1,1,0.813727856,1
5,1,1,0.920970201,1
6,1,1,1.070163488,1
7,1,1,0.521875143,1
8,1,1,0.859960079,1
9,1,1,0.664001703,1
0,1,1,3.456358671,1
1,1,1,2.147997856,1
2,1,1,1.556014538,1
3,1,1,1.276985168,1
0,1,1,2.071025848,1
1,1,1,0.675983191,1
2,1,1,0.927586794,1
3,1,1,1.037219048,1
4,1,1,0.995116949,1
5,1,1,0.747633219,1
6,1,1,0.686066866,1
7,1,1,1.158029079,1
8,1,1,0.979015827,1
9,1,1,0.650989294,1
0,1,1,1.130214453,1
1,1,1,0.906830072,1
2,1,1,0.902956724,1
3,1,1,0.907011509,1
4,1,1,0.919018269,1
5,1,1,0.562996864,1
6,1,1,0.77498436,1
7,1,1,0.682032824,1
8,1,1,0.500983953,1
9,1,1,0.633998394,1
10,1,1,0.479983807,1
11,1,1,0.555036306,1
12,1,1,0.698965311,1
0,1,1,0.763999224,1
1,1,1,0.869998217,1
2,1,1,1.009993076,1
3,1,1,1.115014791,1
4,1,1,0.755001068,1
5,1,1,0.983003139,1
6,1,1,0.858997345,1
7,1,1,0.938001156,1
8,1,1,0.755123138,1
9,1,1,0.896003246,1
10,1,1,1.002002478,1
0,3,1,0.622970343,1
1,3,1,0.436026573,0.798415192
2,3,1,0.431739807,1
3,3,1,0.520056963,1
4,3,1,0.686941862,0.89947979
5,3,1,0.494091988,1
6,3,1,0.723035812,1
7,3,1,0.511964798,1
8,3,1,0.529038906,1
9,3,1,0.520992517,1
10,3,1,0.340704441,1
11,3,1,0.402071476,1
12,3,1,0.620194912,0.506207831
13,3,1,0.364145756,1
14,3,1,0.458594322,1
15,3,1,0.567000628,1
16,3,1,0.412000179,1
